# Balance Sheet data for MSFT.US (quarterly)
# Data retrieved on: 2026-08-05 14:22:20

,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Inventory,1397000000.0,1219000000.0,1059000000.0,1130000000.0,938000000.0,,
Finished Goods,,,,,,508000000.0,557000000.0
Work In Process,,,,,,13000000.0,7000000.0
Raw Materials,,,,,,327000000.0,345000000.0
Receivables,80876000000.0,60041000000.0,56535000000.0,52894000000.0,69905000000.0,,
Accounts Receivable,80876000000.0,60041000000.0,56535000000.0,52894000000.0,69905000000.0,,
Allowance For Doubtful Accounts Receivable,-1040000000.0,-794000000.0,-729000000.0,-687000000.0,-944000000.0,,
Gross Accounts Receivable,81916000000.0,60835000000.0,57264000000.0,53581000000.0,70849000000.0,,
Cash Cash Equivalents And Short Term Investments,76651000000.0,78228000000.0,89456000000.0,102005000000.0,94555000000.0,,
Other Short Term Investments,55716000000.0,46123000000.0,65160000000.0,73156000000.0,64313000000.0,,
Cash And Cash Equivalents,20935000000.0,32105000000.0,24296000000.0,28849000000.0,30242000000.0,,
Cash Equivalents,7876000000.0,19374000000.0,14075000000.0,17483000000.0,18531000000.0,,
Cash Financial,13059000000.0,12731000000.0,10221000000.0,11366000000.0,11711000000.0,,
